train_id,train_number,train_name,train_type
157,6852,"NCR-KIK DEMU",DEMU
158,6853,"KIK-NCR PASS",SF
159,6854,"NCR-KIK PASS",SF
160,6919,"UBL-BJP SPL",SF
161,K,"12:16:00",SF
162,6920,"BJP-UBL SPL",SF
163,7005,"HYB-RXL",SF
164,7006,"RXL-HYB",SF
165,7007,"SC-DBG",SF
166,7008,"DBG-SC",SF
167,7016,"KCG-VSKP",SF
168,7044,"VSKP HSP",SF
169,7061,"COA-VLNK",SF
170,7062,"VLNK-BZA",SF
171,7075,"HYB-COA",SF
172,7076,"COA-HYB",SF
173,7109,"HYB-QLN",SF
174,7110,"QLN-HYB",SF
175,7113,"KRMR-QLN",SF
176,7133,"HYB-GNT-QLN",SF
177,7134,"QLN-GNT-HYB",SF
178,7146,"TPTY-KCG",SF
179,7149,"SC-GHY HSP",SF
180,7211,"CCT-QLN",SF
181,7212,"QLN-COA",SF
182,7213,"BZA-QLN",SF
183,7214,"QLN-BZA",SF
184,7217,"NS-QLN",SF
185,7218,"QLN-NS",SF
186,7410,"TPTY-AK",SF
187,7417,"TPTY-NSL HSP",SF
188,7418,"NSL-TPTY HSP",SF
189,7425,"KCG--COA HSP",SF
190,7426,"COA-KCG HSP",SF
191,7429,"SC-TPTY",SF
192,7430,"TPTY-SC",SF
193,7431,"CCT-TPTY",SF
194,7432,"TPTY-CCT",SF
195,7436,"SC-COA",SF
196,7438,"KCG-TATA HSP",SF
197,7439,"TATA-KCG HSP",SF
198,7487,"TPTY-VSKP",SF
199,7505,"AWB-QLN",SF
200,7509,"ADB-QLN",SF
201,7517,"BIDAR-PVR",SF
202,7525,"NJP - NBQ DE",SF
203,7526,"NBQ - NJP DE",SF
204,7603,"KCG-KJM HSP",SF
205,7604,"KJM-KCG HSP",SF
206,7607,"NED-TPTY HOL",SF
207,7608,"TPTY-NED",SF
208,7613,"sabarimalai",SF
209,7644,"tpty spl",SF
210,7645,"RU-CCT",SF
211,7757,"SC-BZA  SPL",SF
212,7758,"BZA-SC  SPL",SF
213,7941,"CCT-TPTY HSP",SF
